0,2019-12-01,良,80,302,56,82,16,50,0.82,25
1,2019-12-02,良,55,205,31,64,16,43,0.74,32
2,2019-12-03,良,74,255,50,95,25,51,0.97,30
3,2019-12-04,良,84,282,59,111,33,61,1.2,23
4,2019-12-05,良,83,266,60,111,18,52,0.98,18
5,2019-12-06,良,86,282,63,100,15,46,0.81,20
6,2019-12-07,轻度污染,141,305,107,159,20,59,1.07,27
7,2019-12-08,中度污染,193,331,148,207,18,60,1.36,38
8,2019-12-09,严重污染,269,360,219,294,20,79,2.3,11
9,2019-12-10,重度污染,216,344,169,234,19,74,3.15,16
0,2019-11-01,轻度污染,130,343,95,207,19,88,1.6,30
1,2019-11-02,轻度污染,122,340,85,192,18,76,1.43,47
2,2019-11-03,良,95,328,66,113,9,33,0.9,50
3,2019-11-04,良,62,178,31,75,12,53,0.93,32
4,2019-11-05,良,85,285,60,116,12,66,1.25,35
5,2019-11-06,轻度污染,125,344,94,167,16,73,1.48,44
6,2019-11-07,轻度污染,106,324,69,134,10,58,1.0,26
7,2019-11-08,轻度污染,105,314,72,137,13,57,1.05,30
8,2019-11-09,中度污染,163,333,123,196,10,44,1.09,85
9,2019-11-10,轻度污染,102,324,57,133,7,34,0.64,59
10,2019-11-11,良,84,290,38,118,10,58,0.93,23
11,2019-11-12,轻度污染,107,343,64,164,16,69,1.05,41
12,2019-11-13,轻度污染,110,359,46,164,7,37,0.59,44
13,2019-11-14,良,86,342,34,122,11,37,0.59,46
14,2019-11-15,轻度污染,102,343,65,149,24,77,1.4,22
15,2019-11-16,中度污染,172,357,132,217,15,78,1.59,16
16,2019-11-17,轻度污染,120,290,87,134,8,51,1.11,20
17,2019-11-18,轻度污染,149,359,41,226,7,27,0.48,37
18,2019-11-19,轻度污染,122,346,57,193,20,56,1.01,16
19,2019-11-20,轻度污染,104,323,60,158,20,57,0.96,29
20,2019-11-21,良,75,259,41,99,12,38,0.6,50
21,2019-11-22,良,70,213,46,89,11,42,0.77,41
22,2019-11-23,良,92,286,67,112,11,63,1.04,11
23,2019-11-24,良,84,280,52,90,6,34,0.81,31
24,2019-11-25,优,47,245,20,51,12,37,0.75,29
25,2019-11-26,良,80,323,57,101,18,51,0.9,21
26,2019-11-27,良,87,324,56,107,20,50,0.85,25
27,2019-11-28,优,48,204,23,52,13,44,0.6,32
28,2019-11-29,良,90,316,64,125,23,64,1.04,14
29,2019-11-30,良,92,302,68,107,17,54,0.92,17
0,2019-10-01,良,62,184,32,63,8,35,0.67,112
1,2019-10-02,良,63,222,38,75,8,44,0.7,92
2,2019-10-03,良,77,299,37,84,12,58,0.9,103
3,2019-10-04,良,70,304,43,97,7,43,0.67,51
4,2019-10-05,优,27,107,11,27,7,20,0.35,57
